1630972800.0,52666.20000000,55000.00000000,52250.00000000,52636.60000000,4.39920300,1630973699999,231811.13731437,662,3.84238900,202467.78751208,0
1630973700.0,52636.60000000,52682.03000000,52250.00000000,52478.68000000,3.35891000,1630974599999,176490.32684030,565,2.97207100,156166.98958409,0
1630974600.0,52469.15000000,52538.98000000,52364.78000000,52383.05000000,3.62849500,1630975499999,190312.01118955,720,3.26607200,171298.97262907,0
1630975500.0,52389.83000000,52553.42000000,52375.89000000,52499.31000000,3.65071600,1630976399999,191573.99218083,457,3.29671800,172998.94846882,0
1630976400.0,52500.02000000,52645.01000000,52451.74000000,52616.78000000,2.72920100,1630977299999,143338.90277314,422,2.51429500,132049.89195588,0
1630977300.0,52619.21000000,52799.99000000,52143.00000000,52574.71000000,3.46603400,1630978199999,182324.92491278,531,2.66717100,140324.18435349,0
1630978200.0,52574.71000000,52592.57000000,52510.89000000,52524.50000000,3.09165400,1630979099999,162487.09980409,527,2.42037300,127194.32692506,0
1630979100.0,52524.50000000,53470.56000000,52434.17000000,52489.55000000,2.24230700,1630979999999,117787.19447533,375,2.01931200,106046.64034050,0
1630980000.0,52489.56000000,52645.08000000,52489.56000000,52641.30000000,2.56689800,1630980899999,134925.11127241,355,2.32185900,122043.93620109,0
1630980900.0,52642.32000000,52667.05000000,52600.01000000,52651.77000000,2.46278300,1630981799999,129625.69516466,302,2.03295800,106993.19755560,0
1630981800.0,52646.43000000,52781.01000000,52646.43000000,52726.35000000,2.26942000,1630982699999,119649.12805474,366,1.97806800,104289.08412780,0
1630982700.0,52726.39000000,52818.09000000,52620.01000000,52700.16000000,2.59982300,1630983599999,137047.27575238,358,2.29635700,121049.22440098,0
1630983600.0,52698.01000000,52856.09000000,52692.84000000,52776.89000000,3.14558800,1630984499999,166020.07160270,513,2.69732400,142357.83612601,0
1630984500.0,52776.89000000,52900.06000000,52692.02000000,52697.60000000,2.74789800,1630985399999,145111.75011314,503,2.41221200,127379.64117068,0
1630985400.0,52697.63000000,52778.83000000,52624.23000000,52626.51000000,2.02093400,1630986299999,106479.63600799,369,1.81769400,95769.94142765,0
1630986300.0,52619.98000000,52685.81000000,52619.98000000,52658.53000000,1.83256300,1630987199999,96477.67399242,351,1.71256600,90159.65827217,0
1630987200.0,52654.16000000,52679.64000000,52537.35000000,52644.81000000,2.48105800,1630988099999,130565.49699896,373,2.22106400,116880.07967677,0
1630988100.0,52646.23000000,52683.83000000,52550.01000000,52560.49000000,2.31585600,1630988999999,121837.72906756,386,2.05772700,108256.73919685,0
1630989000.0,52560.49000000,53649.99000000,52551.23000000,52640.60000000,2.70356300,1630989899999,142250.96228418,387,2.42321100,127500.18856870,0
1630989900.0,52640.09000000,52749.99000000,52501.01000000,52533.44000000,2.58638100,1630990799999,136057.56659770,447,2.12763800,111918.51971370,0
1630990800.0,52520.00000000,52542.70000000,52395.50000000,52492.17000000,3.07890700,1630991699999,161532.27492296,499,2.68417000,140818.99095873,0
1630991700.0,52494.62000000,53849.99000000,52438.47000000,52562.56000000,3.10159000,1630992599999,163024.46665203,465,2.53312000,133117.37319237,0
1630992600.0,52568.04000000,52620.03000000,52143.00000000,52604.22000000,2.47708600,1630993499999,130078.95004507,381,1.97611700,103856.75728980,0
1630993500.0,52607.29000000,53999.99000000,52600.99000000,52670.12000000,3.03526000,1630994399999,159872.72514568,504,2.26901400,119513.03499940,0
1630994400.0,52665.00000000,54099.99000000,52610.25000000,52634.05000000,2.25849600,1630995299999,118936.37616166,428,1.98034100,104291.05850252,0
1630995300.0,52624.88000000,52624.88000000,52540.68000000,52547.20000000,1.93386600,1630996199999,101680.23044986,313,1.43496900,75442.37949882,0
1630996200.0,52540.05000000,53549.99000000,52511.01000000,52555.01000000,2.75271500,1630997099999,144784.60676306,418,2.30553000,121244.53977417,0
1630997100.0,52552.06000000,52575.27000000,52330.00000000,52347.08000000,2.58570600,1630997999999,135661.82365802,326,2.41220500,126553.75848051,0
1630998000.0,52334.71000000,52420.54000000,52080.00000000,52181.00000000,3.94408100,1630998899999,206082.29760875,502,3.23143400,168889.34363734,0
1630998900.0,52180.06000000,52309.76000000,43117.82000000,52297.85000000,4.77752800,1630999799999,240034.01831678,684,3.20657700,167147.46406156,0
1630999800.0,52292.85000000,52396.81000000,52010.00000000,52347.70000000,3.26124700,1631000699999,170614.08970473,424,2.93592400,153599.32396322,0
1631000700.0,52342.15000000,52454.88000000,51250.00000000,52338.55000000,3.50040500,1631001599999,183184.54887205,498,2.92032600,152867.66499898,0
1631001600.0,52343.57000000,52359.69000000,43117.82000000,52122.03000000,4.17616000,1631002499999,210224.36322840,683,2.73841100,142836.83945499,0
1631002500.0,52122.03000000,52221.49000000,51396.75000000,51470.52000000,4.50368500,1631003399999,234101.00152096,587,4.11873900,214094.91956318,0
1631003400.0,51300.00000000,51647.44000000,50510.00000000,51252.31000000,4.53954500,1631004299999,233228.33796336,736,4.06783000,208999.39805256,0
1631004300.0,51223.01000000,51500.00000000,51188.01000000,51192.70000000,4.23864500,1631005199999,217439.87742413,551,3.90305500,200222.97419334,0
1631005200.0,51186.54000000,51433.04000000,51120.86000000,51290.89000000,3.98905700,1631006099999,204812.12440839,493,3.49500100,179435.44106297,0
1631006100.0,51299.81000000,51907.66000000,51244.83000000,51261.99000000,3.35049800,1631006999999,171964.33109227,416,3.01014800,154497.19577919,0
1631007000.0,51256.22000000,60000.00000000,43117.82000000,50656.75000000,5.28920600,1631007899999,268771.49817981,895,3.68612300,190689.27298418,0
